FileName;River;Position;Time;Replicate;36G;37G;42G;59G;61G;62G;63G;64G;65G;71G;74G;75G;76G;78G;79G;86G;87G;89G;89G;90G;91G;100G;102G;103G;104G;106G;116G;123G;124G;125G;128G;129G;141G;142G;145G;146G;147G;148G;153G;154G;155G;157G;158G;158G;159G;160G;161G;163G;164G;165G;166G;167G;172G;173G;175G;176G;177G;178G;180G;181G;188G;190G;191G;199G;203G;206G;207G;208G;222G;225G;232G;264G;271G;282G;286G;291G;297G;308G;322G;424G;426G;428G;464G;477G;477G;479G;480G;487G;488G;494G
RCAav-T21-L1;RCA;av;T21;L1;0.35;0;0;0;0;0.54;0;0;0;0;0;0;0;0;0;0;0;17.66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6;0;0;0;0;0;77.24;0;0;0;0;2.51;0;0;0;0;0;0;0;0;0;0;1.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RCAav-T21-L2;RCA;av;T21;L2;0;0;0;0;0;0.88;0;0;0;0;0;0;0;0;0;0;0;0;17.66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78.17;0;0;0;0;2.41;0;0;0;0;0;0;0;0;0;0;0.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RCAav-T21-L3;RCA;av;T21;L3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17.47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78.62;0;0;0;0;2.82;0;0;0;0;0;0;0;0;0;0;1.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RCARam-T07-L1;RCAR;am;T07;L1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.22;0;0.97;0;9.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72.41;0;0;5.18;4.79;3.73;2.13;0.52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RCARam-T07-L2;RCAR;am;T07;L2;0.71;0;0;0;0;1.93;0;0;0;0;0;0;0;0;0;0;0;0;0;17.27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62.69;0;0;0;1.12;2.73;5.55;7.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.86;0;0;0;0;0;0;0
RCARam-T07-L3;RCAR;am;T07;L3;0.99;0;0;0;0;3.34;0;0;0;0;0;0;0;0;0;0;0;0;0;12.64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68.22;0;0;0;1.25;0;6.45;7.11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RCARam-T14-L1;RCAR;am;T14;L1;0;0;0;0;0;7.81;0;0;0;0;0;0;0;3.67;0;0;0;0;0;3.99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.73;0;0;0;5.94;0;6.54;63.32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RCARam-T14-L2;RCAR;am;T14;L2;0;0;0;0;0;3.18;0;0;0;0;0;0;0;0;0;1.46;0;5.69;0;4.34;1.19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.27;0;0;0;11.63;1.46;18.34;38.44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RCARam-T14-L3;RCAR;am;T14;L3;0.62;0;0;0;0;4.5;0;0;0;0;0;0;0;0;0;0;0.79;0.98;0;11.42;0.79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13.27;0;0;0;22.9;0;13.21;31.51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RCARam-T21-L1;RCAR;am;T21;L1;0;0;0;0;0;5.08;0;0;0;0;0;0;0;0;0;0;1;0;0;3.99;2.44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.4;0;0;0;12.14;0;10.51;58.78;0;0;0.65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
