"","Group.1","Group.2","Group.3","12:0","13:0","14:0","14:0iso","15:0","15:0anteiso","15:0iso","15:1-n1","16:0","16:0iso","16:1-n5","16:1-n7","16:1-n9","16:2-n4","16:2-n6","16:3-n4","17:0","17:0anteiso","17:0iso","17:1-n9","18:0","18:1-n5","18:1-n7","18:1-n9","18:2-n6","18:3-n3","18:3-n6","18:4-n3","19:0","20:0","20:1","20:2-n9","20:4-n6","20:5-n3","22:0","22:1-n9","22:2-n6","22:6-n3","24:0","24:1-n9"
"21","RCA","AV","T14",0.455741720930265,0.0602459061068993,7.21201063133975,1.05747444907102,0.440742277453867,0.333511106721488,0.255016583221424,0.167603547390362,27.4376359228076,0.145981111898835,0.304900890429843,11.4263443359461,2.09433503870272,2.26572049456214,0.498597404249791,4.45082196366622,0.221713861015892,0.0938925891854757,1.29375616632097,0.87137428285682,9.90988435599317,0.0615187486482128,1.18460622374112,1.42448399667166,3.69094391610316,10.8943133457601,0.83372365634695,0.851640790469481,0.0663260562082783,0.0935266428405441,0.248586726478546,0.134436794201981,1.75719532751509,6.83383629463155,0.149546149550771,0.0920532096942383,0.0537712388561143,0.526747180788381,0.0204740800249649,0.0849649815981682
"22","RGA","AV","T14",0.850947063614557,0.0751832003538761,5.37438042114616,0.997075279631098,0.965543520079508,0.423669407523027,0.514828499794007,0.186577145712934,31.9900721954013,0.205186151157229,0.275162542633182,9.21656597396785,2.75963527931235,1.26212965946111,0.321275357285098,2.35128404745619,0.540495428321225,0.302377926487904,1.14706998725508,0.353880310507269,16.811949715764,0.12415407682743,1.66076081308386,4.68481884305387,2.52382214905766,6.49135876789089,0.272795400406385,0.301345527680696,0.0381927772783505,0.186829599656462,0.393188427309364,0.295003880912989,1.20060289413357,3.3128111492791,0.218889851450685,0.455924608578739,0.0291952232308244,0.586537438695974,0.134349635350839,0.164129823257323
"23","RMO","AV","T14",0.317769731105879,0.0340373668473806,3.81813927258251,0.745069257066207,0.317198575809593,0.227812142671123,0.397600623948867,0.101637718546862,27.3818678399652,0.131434094303671,0.457763115588472,13.8839888211815,1.06053870504603,2.1012352841724,0.412114157646919,3.51771166143822,0.397173994508107,0.0582149314926237,0.756145484687382,4.73288930919013,9.38043303321479,0.103995833539097,2.19975966661882,2.60073435091714,3.87874501189887,10.9300359182359,0.568065221268507,1.02718646935308,0.0375843298200177,0.0581116920961572,0.287028387374203,0.0920071888855122,2.03779808884679,5.21671639483032,0.192058080427321,0.0435004064060967,0.02224426384211,0.429556083226927,0.0162407806296623,0.0278567107695942
"24","RPE","AV","T14",0.348050553141777,0.035927325000239,5.41311900315826,0.884952671822824,0.338114296404013,0.171507452235246,0.2478647586994,0.132941395202135,31.7573264108121,0.165606168162225,0.192517611355785,16.2223146172927,1.15746241076943,1.86458320091407,0.207006683843674,2.39684827622448,0.225954896485356,0.166482569577436,1.22294809315383,1.02770541214333,8.38106761492224,0.0554510871816274,1.41140545580284,2.6852370005082,2.97275128600635,11.402024383305,0.773043733427441,1.03448164628091,0.0335096741092675,0.040385983010119,0.207268908126747,0.0889649088584358,1.3482264834955,4.69392859582225,0.134283727683551,0.0638135787554514,0.0107157910923262,0.440349010359904,0.027361961335346,0.016495363518179
"25","GRG","AM","T21",0.259007842499577,0.0356428857362021,0.981576706267354,0.180238192737418,0.151177430359373,0.0654686222496164,0.149537223828915,0.0561960628246164,41.979824190789,0.0570341427109744,0.247515042261494,2.0794241296851,0.213400699261345,0.393704383292469,0.09437984621702,0.895021938360995,0.254753724550099,0.185694530805805,0.123226215797784,0.0569733213535817,44.0970796889258,0.0429529629315923,0.482402363918589,2.43214922046868,0.438663168905951,0.189591743478832,0.0962161980090815,0.101548516618228,0.0895173341332482,0.416768962292567,0.147414571727476,0.105913946476796,0.686796912880047,1.13892936870566,0.138802149244816,0.389610444039788,0.129132571296294,0.172364997092579,0.156042739154959,0.0883050081102848
"26","GRC","AM","T21",0.417327100596914,0.0405613024658407,1.79038496968527,0.266070572210844,0.171272396375003,0.0568912824637663,0.0992818585031299,0.0548160356439255,39.3625548453924,0.0487275001774983,0.0704462434088861,2.7759414742216,0.283665742402101,1.0755061935252,0.199236777425196,2.82058488310991,0.200290344174545,0.0599306043787975,0.252470367846552,0.0457663789257297,40.6002076415766,0.0418127509314726,0.231468961390888,1.90608671524584,0.384660722486155,0.345944162644002,0.221294840311479,0.165212178241378,0.0929582681771863,0.445320055609022,0,0.1472130365801,0.832355232060223,3.75416615209508,0.0812280794620509,0.0537709385202206,0.140933371054425,0.13016289895958,0.192656484348655,0.140820637372581
"27","RCA","AM","T21",0.308028794456426,0.0610558667844796,2.17324277362096,0.377014251876717,0.204036005237106,0.0681306884545023,0.130543953882507,0.109927748487156,36.9065219462186,0.0577754607151813,0.0576373503187095,7.18578505193967,0.593956382280806,0.935407073884828,0.212028869545589,2.1097457599578,0.199694234532186,0.0631365016578243,0.267817488797074,1.34286296561673,31.7468395896146,0.0352580177551055,0.536035194702447,2.02145780851192,1.17426126489582,3.89457677302165,0.463104808482648,0.645466588650416,0.0889177555989355,0.250450172769847,0,0.0894035190042567,1.21921721257834,3.84939580746202,0.068445313950782,0.0742788645171064,0.0660078099602422,0.146805385888825,0.150683412589253,0.11504553178094
"28","RGA","AM","T21",0.719223439940625,0.0266438114503282,0.913460360861068,0.124321786393995,0.21925403931891,0.0874802141585552,0.111175080837892,0.0309805950601389,42.8105108893144,0.0468915379553021,0.199156412416673,1.55818328013576,0.389246812516953,0.250788822805003,0.122924229525858,0.834102281441395,0.258355707521809,0.0673678166932019,0.0721657452443453,0.0502651010934783,45.2157962415619,0.0376813297772513,0.312769953287941,2.33045829911377,0.294207777316968,0.0604181183442308,0.13089808468308,0.0171403123080073,0.10714352152652,0.41732316109565,0.113630991850654,0.0927226430466292,0.909098273650459,0.42229681441901,0.0715192281306349,0.140304123700173,0.0871919959931364,0.115230047517522,0.118864087713624,0.112807030277091
"29","RMO","AM","T21",0.109462369360801,0.0587203705021469,4.79038969676586,0.287890037425278,0.195185640287611,0.049781058718863,0.153529819748735,0.0611927157163019,31.6770963652023,0.0876634827999641,0.234329366265666,27.6796429338844,0.218686214653269,1.24194116019546,0.225137924331105,2.32252141308383,0.147282882607711,0.0309615738237737,0.304876453940488,0.566674841416611,7.63829793705206,0.0280998486240217,0.900661700064802,2.57303027887678,1.81697134803869,3.95984236064299,0.62052373142626,1.06250749168208,0.005751779071351,0.1621458818237,0.0365028698425513,0.0155845611106979,2.00111065342704,8.37628375784596,0.0808739562935863,0.0116064035406667,0.00566494980202251,0.182297420737275,0.00500810758880192,0.0742686417785169
"30","RPE","AM","T21",0.344471586092187,0.0299760038654776,0.947336826572545,0.0610421808185258,0.158149927804858,0.0502383696492465,0.0473671571833162,0.0285361653150217,43.4622463705117,0.0225341933404766,0.0287140647944644,0.848332462194038,0.437323519745027,0.2793815242283,0.030078550338231,0.572067538916737,0.260721211652892,0.077199499320052,0.0687936453014295,0.0383454546851174,46.9602598702648,0.0273615974892844,0.135275056222621,2.16593068234701,0.350353197380349,0.381309278284079,0.0828094258976075,0.0511066613640375,0.138207069544351,0.536743135591642,0,0.163508000972467,0.134625612336574,0.600818596703101,0.0607196005998437,0.070122950092904,0.158854501688207,0.0367701866466097,0.0579372007486977,0.0944311234961519
"31","GRG","AV","T21",0.144559892089889,0.0725164087455289,4.75913484325888,0.299481858330671,0.179375796989377,0.0680773348759751,0.217712059567862,0.106503785573741,31.2119755881577,0.0468734052318897,0.139995639270987,26.7873256627771,0.606758628612778,1.4677627233085,0.271776079479232,2.2480454740714,0.114329235374316,0.0190907836859808,0.247940696015504,0.12044094243894,10.5799692748672,0.0538474007334078,1.70740491496517,1.38269201145896,1.34745459791886,3.06596879269692,0.380034242185558,1.24630204148059,0.0325140020647619,0.153165328659387,0,0.0486406343579517,1.90562971835516,8.34464553526309,0.0788239453422427,0.0267305090633977,0.0647939421996796,0.180297337251093,0.229948930364611,0.0414600029156855
"32","GRC","AV","T21",0.270930107004447,0.0413713766300173,3.1726454414479,0.328010307652803,0.208097325786965,0.0849490233626457,0.222736848717142,0.103163907214321,34.1716187671432,0.0458444197824877,0.0897016214620562,8.84952301478845,0.331555743735825,1.80250648974659,0.238384389763099,3.36715473756759,0.169889743776834,0.0538240393745867,0.560991834060264,0.227184633301132,25.7627923658463,0.0366967860747062,0.555103664191939,1.94434888169383,2.21164816432496,4.43160300441524,0.398178409727497,0.504166919370341,0.0821356944787518,0.227547021641089,0,0.107554995938215,1.36164573157274,7.19008388666112,0.101572202673754,0.0801717073691363,0.105066180283693,0.21618715507291,0.203642918166901,0.139770538178468
"33","RCA","AV","T21",0.141777494440007,0.0736424714554713,3.68208671787045,0.423819161740154,0.220892131690596,0.0553680351863775,0.137885783525763,0.12229198137912,35.2955262652776,0.0543854724879067,0.3135174367824,12.9436533625752,0.648433578980915,1.63385049985462,0.269310172548331,3.16108159831577,0.154903449994778,0.0745282554035968,0.372030960845363,0.370148127886869,25.1060632719498,0.0757547299985557,0.619019081017787,2.21416910022307,1.11407945888208,2.34370080741267,0.343677653311137,0.385524605785576,0.0561748665140023,0.14140966563024,0,0.0974045129956998,1.17677046683808,5.46562446123724,0.0525338569198099,0.0702505647891548,0.0577385190214058,0.24134869685154,0.195886803659658,0.0937359187212007
"34","RGA","AV","T21",0.176025484887999,0.105096522901643,2.29959750968643,0.284566690097528,0.162920264020706,0.0404153984103314,0.202754118527755,0.170777476529934,36.9340408402215,0.0599511056702949,0.0765761124753513,6.55792980359385,0.339608084121359,0.880648169012176,0.158972360385852,1.64225055714642,0.180908337817474,0.090769613775207,0.4878953665545,0.345793125647288,32.1462069384626,0.0329258906136809,0.672521627395406,3.28448320965354,1.53357276230017,4.99570197812374,0.257679380074564,0.261075897415155,0.0745511720629823,0.28987134174646,0.10305825602505,0.0843159393284992,0.758349236959557,3.23798168126106,0.129409267612322,0.159146718904847,0.11401929718439,0.167008532065477,0.209890140882269,0.290733790444588
"35","RMO","AV","T21",0.310822671537941,0.264542292830832,3.28137263594328,0.671707613246618,0.295298808435197,0.119738968322834,0.365810475465351,0.227266968753944,29.2530036135163,0.363903622115277,0.397972405918485,11.9246887526126,0.451544046188311,2.10115303227762,0.679160083575189,4.41538053889886,0.274715064656023,0.0758573126672265,0.580229531292483,2.90552540155071,19.5095628892179,0.0901174560856584,1.30975538856829,1.84341011943258,2.10679917320443,6.05895667833907,0.425486630355966,0.596074400895663,0.062037933008733,0.271554788680066,0.0761781085003378,0.0253449275093103,2.67109676749733,5.58811998153984,0.0860483407267513,0.0273336674559752,0.0131555958647175,0.123347918035181,0.0117446091849192,0.144180786092174
"36","RPE","AV","T21",0.271097762087565,0.0256218090637771,4.50523327022865,0.519116020873485,0.206581764387185,0.0850966292566669,0.499722955827951,0.0938643866844265,32.9037224093072,0.0757949440286723,0.17085317086579,10.9947897980857,1.41337128417464,1.21258165458489,0.179254585002786,2.04994425019624,0.162989503062652,0.0967587381737307,0.468172364425507,0.870201622420722,20.1933511014886,0.0542809028721112,1.00444004963247,2.49713480058074,1.94088533514094,9.60436297918987,0.53876115512469,0.741624049078152,0.0715550274167179,0.252348017071046,0,0.111865141217702,1.34178777258962,4.23976048662119,0.0509631106341219,0.0955660005071765,0.061326991732539,0.149575534295268,0.157882286954994,0.087760335113788
